port,cvss_score,internet_exposed,service_risk,patch_age,exploit_available,service_popularity,auth_required,known_cve_count,misconfig_score,network_depth,critical_asset,label
139,8.8,1,0.8,0,0,0.5,0,9,0.31,2,0,1
110,7.04,0,0.6,5,1,0.47,0,7,0.94,1,0,1
23,8.42,1,0.95,2,0,0.98,1,6,0.54,4,0,1
3389,6.16,1,0.85,3,0,0.61,0,2,0.49,5,0,1
53,5.91,1,0.4,1,0,0.48,0,3,0.49,3,0,0
143,5.46,1,0.6,2,1,0.63,0,10,0.57,5,1,1
25,7.37,0,0.5,0,0,0.33,0,11,0.83,4,0,0
110,7.92,0,0.6,4,0,0.34,1,17,0.54,2,1,1
445,4.85,1,0.9,0,0,0.67,1,9,0.29,3,1,1
21,3.56,1,0.9,4,0,0.61,1,2,0.9,3,1,1
3389,3.29,0,0.85,3,0,0.57,0,2,0.82,1,0,0
21,3.08,1,0.9,4,1,1.0,1,19,0.05,1,0,1
23,6.87,0,0.95,3,1,0.4,0,19,0.31,5,1,1
139,8.15,1,0.8,4,0,0.86,0,2,0.6,5,0,1
21,7.37,1,0.9,3,0,0.35,1,8,0.49,2,0,1
23,3.3,1,0.95,0,1,0.38,1,2,0.36,4,1,1
53,4.96,0,0.4,5,1,0.79,1,12,0.37,3,0,1
110,8.45,0,0.6,3,1,0.32,1,5,0.22,3,1,1
25,6.88,1,0.5,5,1,0.56,0,16,0.33,5,0,1
139,7.99,0,0.8,4,1,0.36,0,18,0.75,5,0,1
3306,4.98,1,0.8,4,1,0.63,1,5,0.68,1,1,1
22,9.26,0,0.6,1,1,0.62,0,8,0.17,5,0,1
445,4.67,0,0.9,3,1,0.4,0,9,0.13,2,0,1
110,6.56,0,0.6,3,1,0.43,1,7,0.75,2,0,1
443,6.06,1,0.7,2,1,0.77,1,2,0.99,2,0,1
3389,7.1,0,0.85,0,0,0.5,1,5,0.34,2,1,1
21,5.77,0,0.9,2,1,0.72,0,3,0.09,2,0,1
53,3.08,0,0.4,0,1,0.42,1,4,0.09,4,0,0
3306,4.37,0,0.8,1,0,0.92,1,11,0.43,4,1,1
3389,5.23,0,0.85,0,0,0.36,0,4,0.68,1,0,0
110,5.17,0,0.6,0,0,0.91,1,9,0.29,4,0,0
21,5.58,0,0.9,5,0,0.65,1,9,0.51,1,0,1
3306,6.0,1,0.8,0,0,0.96,0,16,0.82,5,1,1
139,8.98,1,0.8,5,0,0.39,0,10,0.75,3,0,1
80,6.03,0,0.7,3,0,0.95,1,5,0.33,2,1,1
53,9.42,0,0.4,4,0,0.74,1,8,1.0,3,1,1
21,5.1,1,0.9,1,0,0.98,0,6,0.77,5,0,1
110,9.55,1,0.6,5,0,0.99,0,11,0.01,5,1,1
23,6.78,1,0.95,0,1,0.66,1,13,0.87,1,1,1
139,7.88,0,0.8,4,1,0.39,0,5,0.63,3,0,1
110,7.48,0,0.6,3,1,0.44,1,14,0.06,2,1,1
53,9.54,1,0.4,5,1,0.8,0,20,0.65,5,1,1
3306,6.35,0,0.8,5,1,0.61,1,18,0.55,2,1,1
3389,7.76,0,0.85,2,1,0.68,1,17,0.96,4,1,1
110,4.52,1,0.6,2,0,0.57,1,9,0.77,3,1,1
22,6.81,0,0.6,4,0,0.64,1,11,0.51,1,0,1
3306,4.52,0,0.8,4,0,0.63,1,15,0.64,4,0,1
3306,7.28,1,0.8,2,1,0.79,0,11,0.73,1,0,1
25,8.16,0,0.5,3,0,0.33,1,13,0.24,2,0,1
445,5.46,0,0.9,4,0,0.8,1,18,0.56,3,1,1
22,6.3,0,0.6,0,1,0.68,1,15,0.79,1,1,1
443,4.29,1,0.7,3,1,0.72,0,10,0.9,5,1,1
443,5.0,0,0.7,4,1,0.7,1,16,0.95,3,1,1
139,7.46,1,0.8,0,1,0.73,0,1,0.53,4,1,1
80,8.86,0,0.7,0,0,0.63,1,5,0.33,5,1,1
443,8.76,0,0.7,4,1,0.74,0,20,0.11,4,1,1
21,7.68,1,0.9,3,1,0.61,1,11,0.39,3,0,1
53,8.02,1,0.4,5,1,0.95,0,14,0.72,4,1,1
21,3.21,0,0.9,1,0,0.99,1,13,0.65,4,1,1
21,5.51,1,0.9,5,0,0.98,0,18,0.87,2,1,1
53,5.56,1,0.4,0,1,0.65,1,20,0.97,3,1,1
443,3.54,1,0.7,1,1,0.92,1,1,0.39,5,0,1
53,8.96,1,0.4,0,1,0.81,0,8,0.78,4,0,1
139,7.7,1,0.8,0,1,0.57,1,15,0.79,1,0,1
25,7.37,1,0.5,1,0,0.98,1,8,0.6,4,0,1
3389,8.72,0,0.85,0,1,0.71,1,3,0.6,1,1,1
53,5.43,1,0.4,2,0,0.73,1,14,0.54,2,0,1
139,3.64,0,0.8,3,1,0.35,1,0,0.04,2,1,1
139,3.21,0,0.8,3,1,0.56,0,2,0.46,4,1,1
53,3.16,1,0.4,5,0,0.92,1,5,0.8,5,0,1
445,4.11,0,0.9,3,1,0.58,1,8,0.55,1,1,1
23,9.72,0,0.95,2,1,0.34,0,1,0.91,1,1,1
25,7.69,0,0.5,3,0,0.61,1,16,0.37,4,1,1
25,5.18,0,0.5,2,0,0.92,1,15,0.28,1,0,0
445,5.3,1,0.9,0,0,0.81,0,2,0.46,3,0,1
21,7.09,1,0.9,4,1,0.91,1,18,0.44,3,1,1
21,7.52,1,0.9,4,0,0.84,0,4,0.95,5,0,1
143,9.75,0,0.6,2,0,0.49,0,10,0.81,4,1,1
23,4.72,1,0.95,4,1,0.46,0,15,0.38,4,0,1
143,6.37,0,0.6,4,1,0.87,1,15,0.72,3,0,1
23,4.75,0,0.95,5,1,0.98,1,1,0.0,4,0,1
143,3.66,0,0.6,3,0,0.39,0,1,0.96,4,0,0
143,7.15,0,0.6,3,1,0.59,0,11,0.68,4,1,1
443,5.25,1,0.7,5,1,0.57,0,16,0.73,5,1,1
445,8.06,1,0.9,1,1,0.96,0,7,0.7,3,0,1
3306,7.36,1,0.8,3,0,0.35,0,1,0.37,5,1,1
3389,9.49,0,0.85,4,0,0.68,0,5,0.48,5,1,1
80,8.07,0,0.7,2,0,0.9,0,3,0.01,3,1,1
443,5.27,1,0.7,1,1,0.49,1,19,0.87,5,0,1
53,8.73,0,0.4,3,1,0.9,0,16,0.03,3,1,1
139,4.53,1,0.8,5,1,0.39,0,4,0.52,1,1,1
23,5.27,0,0.95,0,1,0.66,1,19,0.55,1,0,1
3389,9.9,0,0.85,0,0,0.57,1,4,0.46,3,1,1
25,5.38,1,0.5,3,0,0.97,0,4,0.72,4,1,1
53,3.84,0,0.4,0,0,0.68,0,11,0.49,4,0,0
3389,9.42,0,0.85,3,0,0.95,0,19,0.49,3,0,1
21,3.51,0,0.9,3,1,0.83,0,12,0.92,2,1,1
443,8.53,1,0.7,3,1,0.61,0,17,0.46,1,0,1
110,3.87,1,0.6,1,1,0.56,0,15,0.13,2,0,1
80,8.57,0,0.7,0,0,0.5,0,17,0.04,3,0,0
139,5.0,1,0.8,0,1,0.63,0,16,0.98,2,1,1
139,6.51,0,0.8,0,0,0.9,0,16,0.3,5,1,1
21,5.46,1,0.9,4,1,0.8,1,20,0.91,2,0,1
21,8.17,0,0.9,0,1,0.99,1,7,0.99,3,1,1
80,8.07,1,0.7,3,0,0.76,1,18,0.65,3,0,1
21,7.0,0,0.9,2,0,0.76,0,20,0.55,1,1,1
22,5.37,1,0.6,3,1,0.49,0,5,0.51,4,1,1
22,8.84,0,0.6,5,0,0.71,0,14,0.42,3,0,1
3389,3.67,0,0.85,5,0,0.51,0,7,0.23,2,0,1
110,9.45,1,0.6,4,0,0.36,0,6,0.88,5,0,1
25,3.26,1,0.5,4,0,0.59,0,5,0.89,5,0,1
80,3.54,1,0.7,2,1,0.41,0,3,0.07,4,1,1
3389,3.25,1,0.85,0,1,0.91,1,6,0.65,4,1,1
443,8.67,1,0.7,2,0,0.67,0,8,0.76,1,0,1
143,9.79,0,0.6,2,0,0.38,1,8,0.07,2,0,1
443,7.47,1,0.7,5,1,0.4,1,13,0.27,1,0,1
443,6.39,1,0.7,5,0,0.94,1,15,0.21,2,0,1
23,9.09,1,0.95,4,0,0.84,1,19,0.29,2,1,1
25,4.26,1,0.5,4,1,0.84,0,2,0.67,4,0,1
21,9.72,0,0.9,1,1,0.91,0,5,0.14,2,1,1
139,9.73,0,0.8,2,0,0.41,0,16,0.8,3,1,1
25,6.17,1,0.5,2,0,0.6,1,2,0.79,3,0,1
53,7.92,0,0.4,0,0,0.75,1,16,0.25,2,0,0
3389,4.88,0,0.85,4,0,0.55,1,2,0.37,2,1,1
3389,7.26,1,0.85,1,1,0.35,1,12,0.68,5,1,1
22,9.53,1,0.6,2,1,0.37,1,3,0.15,2,1,1
80,8.47,1,0.7,2,1,0.61,1,19,0.82,3,1,1
443,5.45,1,0.7,4,0,0.9,1,16,0.84,4,0,1
443,7.66,0,0.7,1,1,0.63,1,7,0.15,1,1,1
23,7.73,1,0.95,3,0,0.79,0,2,0.8,4,0,1
3306,4.16,1,0.8,4,0,0.58,0,0,0.16,2,1,1
53,4.97,0,0.4,5,0,0.36,0,9,0.17,4,0,1
143,9.77,0,0.6,2,0,0.7,1,15,1.0,3,1,1
23,4.4,0,0.95,4,1,0.79,1,5,0.97,4,1,1
3306,6.12,0,0.8,1,1,0.4,0,16,0.47,3,0,1
23,3.66,0,0.95,3,1,0.42,0,9,0.94,1,0,1
443,3.52,1,0.7,5,1,0.73,0,13,0.26,3,1,1
3306,8.12,0,0.8,5,1,0.99,0,19,0.9,1,0,1
3306,7.32,0,0.8,1,0,0.75,0,7,0.89,1,0,1
110,6.62,1,0.6,5,0,0.53,0,0,0.61,5,1,1
23,7.88,1,0.95,2,1,0.42,1,1,0.66,4,1,1
22,9.99,1,0.6,1,1,0.43,0,5,0.57,2,1,1
3306,3.96,0,0.8,1,1,0.88,1,13,0.83,3,1,1
21,9.8,0,0.9,2,1,0.62,0,20,0.5,5,1,1
53,6.26,0,0.4,0,1,0.72,0,7,0.63,2,1,1
139,4.2,1,0.8,1,1,0.31,0,14,0.98,5,1,1
25,4.59,1,0.5,4,1,0.46,0,18,0.14,5,0,1
143,4.82,1,0.6,5,0,0.4,1,4,0.49,2,0,1
25,8.96,1,0.5,1,1,0.32,0,15,0.02,2,0,1
110,3.91,0,0.6,3,0,0.8,0,5,0.19,4,1,1
445,3.84,1,0.9,3,0,0.98,0,7,0.95,3,1,1
110,9.0,0,0.6,4,0,0.85,0,7,0.67,1,0,1
53,5.69,0,0.4,0,0,0.79,0,12,0.76,4,0,0
3306,5.78,1,0.8,5,0,0.5,0,7,0.41,1,1,1
445,8.38,1,0.9,0,0,0.94,0,6,0.8,1,1,1
80,8.63,1,0.7,4,1,0.37,1,9,0.56,5,0,1
21,9.7,0,0.9,2,1,0.44,0,11,0.34,2,0,1
80,8.94,0,0.7,0,1,0.32,1,18,0.45,2,0,1
53,8.72,0,0.4,2,1,0.36,0,14,0.7,3,1,1
53,8.83,1,0.4,0,1,0.53,0,20,0.01,4,1,1
110,6.39,1,0.6,0,0,0.71,0,14,0.38,3,0,1
110,9.67,0,0.6,3,0,0.98,0,10,0.62,1,1,1
22,4.46,1,0.6,0,0,0.46,0,20,0.28,2,0,1
21,8.25,1,0.9,4,0,0.84,1,14,0.54,1,1,1
53,9.02,1,0.4,3,0,0.78,1,8,0.41,5,0,1
21,5.73,1,0.9,1,1,0.33,1,11,0.29,1,0,1
25,9.83,0,0.5,2,1,0.35,0,6,0.96,2,1,1
143,4.63,1,0.6,3,0,0.9,1,13,0.05,1,0,1
53,5.82,1,0.4,2,0,0.64,0,8,0.56,3,1,1
143,5.18,1,0.6,0,1,0.5,0,17,0.25,3,1,1
443,5.04,1,0.7,3,0,0.35,0,4,0.81,5,0,1
80,3.05,1,0.7,1,1,0.46,0,3,0.6,4,1,1
445,5.85,1,0.9,3,0,0.85,1,8,0.1,3,1,1
21,8.98,1,0.9,0,0,0.56,1,8,0.27,1,0,1
3389,9.15,1,0.85,0,1,0.31,0,6,0.61,3,0,1
110,8.96,0,0.6,2,0,0.93,0,7,0.23,2,1,1
110,8.99,0,0.6,3,0,0.67,0,12,0.83,5,0,1
22,4.06,0,0.6,1,0,0.55,1,16,0.79,2,0,0
139,6.5,0,0.8,3,1,0.94,0,8,0.28,4,0,1
53,9.1,0,0.4,0,0,0.76,1,7,0.67,5,1,1
23,3.45,1,0.95,4,1,0.43,0,16,0.3,1,1,1
3306,6.68,1,0.8,0,0,0.39,0,4,0.4,1,0,1
21,9.48,1,0.9,1,1,0.32,1,7,0.92,1,0,1
25,8.0,1,0.5,2,0,0.78,0,7,0.89,2,0,1
3306,3.55,0,0.8,5,0,0.69,1,12,0.52,5,1,1
22,3.28,0,0.6,3,0,0.39,1,9,0.12,1,0,0
25,3.03,1,0.5,5,1,0.9,0,8,0.04,5,0,1
25,9.09,1,0.5,5,0,0.63,0,19,0.35,4,1,1
53,3.67,0,0.4,2,1,0.31,0,18,0.42,1,0,1
80,4.96,1,0.7,4,0,0.99,0,13,0.34,1,1,1
3306,9.12,0,0.8,0,0,0.42,0,20,0.77,5,0,1
110,7.26,1,0.6,2,1,0.7,1,2,0.25,1,1,1
110,7.72,1,0.6,1,1,0.7,0,17,0.89,3,1,1
80,9.39,1,0.7,0,1,0.83,1,1,0.28,4,0,1
22,3.1,0,0.6,5,0,0.41,1,15,0.99,2,1,1
3306,8.01,0,0.8,1,0,0.91,1,10,0.8,3,0,1
21,4.35,0,0.9,5,1,0.39,0,3,0.76,3,0,1
21,8.99,1,0.9,4,1,0.99,0,14,0.03,4,0,1
139,7.88,0,0.8,4,1,0.44,0,12,0.33,4,0,1
21,3.12,0,0.9,4,0,0.49,1,7,0.28,3,1,1
23,3.26,1,0.95,3,0,0.93,1,14,0.41,3,0,1
3306,3.62,1,0.8,1,0,0.94,1,10,0.26,2,1,1
22,6.36,1,0.6,3,0,0.71,0,15,0.71,5,0,1
25,7.46,1,0.5,4,0,0.47,1,5,0.38,5,1,1
21,6.85,0,0.9,1,0,0.89,0,16,0.74,1,0,1
143,9.72,1,0.6,4,0,0.8,1,3,0.02,2,1,1
21,8.41,1,0.9,2,0,0.68,0,20,0.24,5,1,1
445,3.99,0,0.9,5,0,0.9,0,15,0.73,2,1,1
53,7.86,1,0.4,3,0,0.91,1,1,0.6,1,0,1
445,5.19,0,0.9,0,1,0.52,1,7,0.97,5,1,1
3306,9.97,1,0.8,3,0,0.68,1,9,0.22,3,1,1
3389,9.23,0,0.85,0,0,0.5,0,3,0.46,5,0,0
21,7.03,0,0.9,1,1,0.3,0,1,0.76,1,1,1
445,5.58,1,0.9,0,0,0.6,1,16,0.53,5,0,1
3389,6.49,1,0.85,2,1,0.79,1,9,0.08,4,1,1
25,5.61,1,0.5,1,0,0.64,0,5,0.14,2,1,1
21,6.42,0,0.9,4,0,0.61,0,15,0.48,4,0,1
3306,9.62,0,0.8,1,0,0.44,1,17,0.92,3,0,1
3389,8.73,0,0.85,4,1,0.57,1,15,0.88,1,1,1
23,8.63,0,0.95,0,1,0.5,1,0,0.41,5,1,1
80,8.59,1,0.7,0,1,0.32,1,19,0.14,5,1,1
3306,3.41,0,0.8,4,1,0.76,1,3,0.55,3,0,1
80,9.68,1,0.7,2,1,0.49,0,8,0.12,1,1,1
110,3.66,1,0.6,3,1,0.38,0,4,0.96,4,0,1
23,8.38,0,0.95,1,0,0.31,0,5,0.48,3,0,1
445,6.86,0,0.9,1,0,0.64,0,2,0.18,1,1,1
443,5.95,0,0.7,4,1,0.78,0,13,0.02,5,1,1
22,9.56,0,0.6,2,1,0.5,0,15,0.58,3,0,1
53,3.82,1,0.4,5,0,0.31,1,9,0.95,2,1,1
80,8.28,1,0.7,0,1,0.48,1,8,0.06,1,1,1
25,6.12,0,0.5,4,0,0.69,1,17,0.24,4,1,1
3306,4.56,0,0.8,1,1,0.66,1,3,0.36,5,0,1
80,5.31,0,0.7,4,0,0.65,1,1,0.73,4,0,1
25,9.97,0,0.5,5,1,0.52,0,5,0.08,1,0,1
80,4.71,1,0.7,4,1,0.64,0,2,0.98,4,1,1
22,5.43,1,0.6,3,1,0.58,1,4,0.12,3,0,1
3306,8.82,1,0.8,0,0,0.78,1,10,0.35,1,1,1
443,5.91,1,0.7,1,0,0.81,0,7,0.35,2,0,1
53,9.77,1,0.4,1,1,0.9,1,3,0.87,4,1,1
3306,5.22,0,0.8,5,1,0.33,1,2,0.12,1,0,1
80,3.93,0,0.7,0,0,0.85,0,6,0.86,3,0,0
25,7.29,0,0.5,3,1,0.87,1,9,0.44,5,0,1
3389,5.01,1,0.85,4,1,0.73,1,14,0.56,3,0,1
80,4.27,1,0.7,1,0,0.58,1,6,0.62,3,1,1
143,9.17,1,0.6,2,1,0.31,1,20,0.42,2,0,1
443,7.47,1,0.7,3,1,0.65,1,12,0.8,1,0,1
80,3.05,1,0.7,2,1,0.67,1,7,0.84,2,1,1
22,9.87,0,0.6,4,1,0.51,0,11,0.18,2,1,1
22,6.0,1,0.6,2,1,0.58,1,9,0.88,2,1,1
445,7.84,0,0.9,3,1,0.86,0,7,0.53,4,1,1
21,6.05,0,0.9,2,0,0.85,0,18,0.02,1,1,1
21,7.76,0,0.9,2,1,0.41,0,3,0.91,1,1,1
110,5.46,0,0.6,5,0,0.56,0,10,0.03,1,1,1
110,7.97,0,0.6,4,1,0.76,0,7,0.56,5,1,1
22,8.1,0,0.6,3,1,0.72,0,9,0.91,1,1,1
139,8.35,0,0.8,5,1,0.72,0,1,0.18,2,1,1
445,5.32,1,0.9,4,1,0.52,0,18,0.34,5,0,1
25,6.14,1,0.5,2,1,0.63,1,14,0.2,2,0,1
22,3.57,1,0.6,4,0,0.38,0,11,0.57,1,0,1
445,5.13,1,0.9,3,0,0.97,0,16,0.08,1,0,1
53,4.94,1,0.4,3,0,0.82,1,14,0.78,3,0,1
